feature,feature_cn,coefficient,abs_coefficient,direction,rank
Glucose,血糖值,1.1450788661207962,1.1450788661207962,风险升高,1
BMI,BMI,0.7902267915429236,0.7902267915429236,风险升高,2
DiabetesPedigreeFunction,糖尿病家族遗传指数,0.3381196391798333,0.3381196391798333,风险升高,3
Pregnancies,怀孕次数,0.2637266986373014,0.2637266986373014,风险升高,4
Age,年龄,0.24855141896105798,0.24855141896105798,风险升高,5
BloodPressure,血压,-0.13203207844556183,0.13203207844556183,风险降低,6
SkinThickness,皮肤厚度,-0.04663747563328738,0.04663747563328738,风险降低,7
Insulin,胰岛素,-0.035998831540722254,0.035998831540722254,风险降低,8
