model_key,model,best_cv_roc_auc,classification_threshold,f1_generalization_gap,best_params,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,threshold_train_accuracy,threshold_train_precision,threshold_train_recall,threshold_train_f1,threshold_train_roc_auc,threshold_validation_accuracy,threshold_validation_precision,threshold_validation_recall,threshold_validation_f1,threshold_validation_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
logistic_regression,Logistic Regression,0.8421,0.43,0.0,"{""C"": 10.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",0.7902,0.75,0.5965,0.6645,0.8453,0.813,0.7778,0.6512,0.7089,0.8689,0.7902,0.7179,0.655,0.685,0.8453,0.7967,0.7045,0.7209,0.7126,0.8689,,,,,
random_forest,Random Forest,0.8374,0.34,0.06552971576227395,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 100}",0.8411,0.8661,0.6433,0.7383,0.9247,0.8049,0.7714,0.6279,0.6923,0.875,0.831,0.7037,0.8889,0.7855,0.9247,0.7724,0.6316,0.8372,0.72,0.875,,,,,
svm,SVM,0.8425,0.3,0.0,"{""C"": 10.0, ""class_weight"": null, ""gamma"": 0.01}",0.8024,0.7891,0.5906,0.6756,0.865,0.7805,0.7353,0.5814,0.6494,0.8762,0.7658,0.6308,0.7895,0.7013,0.865,0.7886,0.6545,0.8372,0.7347,0.8762,0.7403,0.5972,0.7963,0.6825,0.8215
knn,KNN,0.824,0.37,0.2421052631578947,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""distance""}",1.0,1.0,1.0,1.0,1.0,0.7886,0.7297,0.6279,0.675,0.8808,1.0,1.0,1.0,1.0,1.0,0.813,0.6923,0.8372,0.7579,0.8808,,,,,
